,cellLabel,cellSize,Y_cent,X_cent,H&E_R,H&E_G,H&E_B,dst_register,src_register,DAPI,CD45,CD3e,CD8,CD4,CD45RO,CD45RA,CD69,CD57,CD56,FoxP3,CD28,CD86,T-bet,TCF1_7,IFN-y,GranzymeB,Tox_Tox2,Tim-3,PD-1,LAG-3,CD20,CD138,CD68,TREM2,CD163,CD16,CD11b,CD11c,MPO,C1Q,IDO-1,PDL1,CA9,Cytokeratin,HLA1,Ki-67,P53,CD31,Podoplanin,aSMA,NaKATP,VDAC1,ATP5A,GLUT1,G6PD
0,1,34,1.911764705882353,935.4705882352941,7960.0,7771.0,7980.0,103262.0,341963.0,62740.0,271691.0,16290.0,0.0,34.0,4294.0,110425.0,34.0,34.0,0.0,34.0,42417.0,136027.0,27.0,34.0,20.0,0.0,1302.0,354.0,668.0,13.0,3205.0,11343.0,10356.0,4744.0,34.0,32743.0,70514.0,6852.0,216118.0,13157.0,0.0,34.0,0.0,1789.0,20211.0,34.0,2286.0,75226.0,0.0,6618.0,31589.0,4492.0,54490.0,34.0,13456.0
1,2,492,12.747967479674797,162.10365853658536,116814.0,116036.0,116842.0,717297.0,2328588.0,604769.0,83162.0,2034277.0,68515.0,383.0,94703.0,610048.0,414.0,492.0,420.0,492.0,176976.0,212120.0,473.0,482.0,10907.0,19.0,40206.0,222993.0,26261.0,80.0,50.0,64607.0,492.0,138519.0,492.0,492.0,135777.0,492.0,84003.0,29534.0,7046.0,16170.0,1133986.0,1410944.0,404224.0,11310.0,10003.0,1431.0,70.0,85.0,1264676.0,389206.0,300216.0,20517.0,91152.0
2,3,226,4.765486725663717,407.64159292035396,53440.0,53021.0,53309.0,375534.0,1471977.0,311483.0,226.0,31873.0,3.0,206.0,2.0,127143.0,226.0,226.0,2.0,226.0,53728.0,104360.0,224.0,226.0,224.0,0.0,26334.0,167.0,2671.0,13.0,29.0,12458.0,226.0,80759.0,226.0,226.0,37832.0,226.0,37976.0,1426.0,4044.0,11313.0,177279.0,3470.0,54053.0,226.0,5868.0,154.0,10.0,0.0,245220.0,437.0,26768.0,51470.0,24804.0
3,4,146,3.5,105.46575342465754,32917.0,31475.0,32920.0,785849.0,2628355.0,575201.0,32178.0,156623.0,4489.0,70.0,20244.0,34363.0,146.0,146.0,24.0,146.0,45521.0,116405.0,839.0,140.0,90.0,2.0,10616.0,2421.0,6698.0,0.0,31.0,34134.0,434.0,42707.0,28466.0,77.0,32736.0,146.0,59783.0,208.0,2385.0,100.0,371087.0,6973.0,87120.0,146.0,7380.0,300.0,0.0,32992.0,270007.0,7849.0,34179.0,12869.0,16900.0
4,5,135,3.6074074074074076,277.0740740740741,30551.0,28901.0,30489.0,275398.0,1077688.0,220205.0,135.0,48577.0,11.0,135.0,91.0,221788.0,135.0,135.0,7768.0,135.0,64014.0,155114.0,135.0,135.0,34081.0,2.0,14604.0,71428.0,2367.0,62.0,114.0,14420.0,135.0,98211.0,135.0,135.0,53910.0,135.0,9584.0,2673.0,33.0,78.0,207921.0,98615.0,162953.0,27.0,4032.0,88.0,95.0,2.0,258515.0,628367.0,251484.0,14884.0,38354.0
5,6,167,3.9580838323353293,619.9401197604791,38512.0,37269.0,38776.0,231974.0,790176.0,185826.0,19956.0,19716.0,0.0,165.0,81.0,155247.0,167.0,167.0,2262.0,167.0,40946.0,60885.0,167.0,167.0,123.0,0.0,5344.0,48838.0,761.0,0.0,6502.0,8136.0,151.0,47360.0,167.0,138758.0,39825.0,167.0,31403.0,407609.0,71.0,150.0,274809.0,32502.0,149088.0,166874.0,2309.0,163.0,43.0,1499.0,292873.0,37343.0,52558.0,136.0,21958.0
6,7,203,4.896551724137931,455.0295566502463,46624.0,44865.0,46700.0,795241.0,2731881.0,605653.0,147048.0,1176143.0,52292.0,190.0,26869.0,148000.0,203.0,203.0,0.0,203.0,64204.0,182833.0,4422.0,203.0,201.0,21.0,29393.0,17611.0,5413.0,364.0,201.0,39531.0,203.0,90949.0,203.0,187.0,43824.0,203.0,24497.0,1332.0,7.0,84.0,1103419.0,19744.0,115083.0,147007.0,9149.0,86.0,8.0,1708.0,621753.0,45586.0,122870.0,217226.0,25864.0
7,8,137,5.175182481751825,501.1240875912409,30367.0,27210.0,30047.0,503098.0,1719645.0,367382.0,136.0,18683.0,5.0,137.0,87.0,1078.0,137.0,137.0,5140.0,137.0,57529.0,130817.0,137.0,137.0,26271.0,4.0,6754.0,84699.0,1211.0,0.0,9834.0,34953.0,137.0,20912.0,137.0,137.0,39383.0,137.0,5568.0,23298.0,137.0,137.0,409649.0,268178.0,150232.0,137.0,4693.0,137.0,89.0,1293.0,131012.0,212402.0,287090.0,86.0,6837.0
8,9,231,4.878787878787879,517.5064935064935,50604.0,46435.0,50717.0,923305.0,3192949.0,688336.0,231.0,16962.0,18.0,231.0,179.0,554.0,231.0,231.0,8143.0,231.0,91487.0,94058.0,174.0,231.0,175.0,1.0,10178.0,106745.0,2466.0,0.0,132.0,41913.0,231.0,935.0,231.0,231.0,65217.0,231.0,17147.0,42956.0,231.0,231.0,1067787.0,1200880.0,206738.0,231.0,8516.0,231.0,150.0,38749.0,309532.0,83822.0,219214.0,213.0,10298.0
9,10,198,5.186868686868687,560.2474747474747,46094.0,44895.0,46084.0,509801.0,1639354.0,377408.0,198.0,26344.0,0.0,198.0,41.0,6361.0,198.0,198.0,6309.0,198.0,77383.0,149069.0,198.0,198.0,198.0,0.0,12864.0,124116.0,4510.0,27.0,84.0,16895.0,198.0,73382.0,198.0,198.0,55564.0,198.0,63210.0,82.0,50.0,198.0,574526.0,450718.0,147565.0,129.0,6830.0,198.0,81.0,960.0,135894.0,229453.0,253452.0,76.0,8665.0
10,11,88,4.215909090909091,595.0340909090909,20291.0,19569.0,20307.0,118909.0,474670.0,97272.0,88.0,16884.0,0.0,82.0,15.0,21100.0,88.0,88.0,3152.0,88.0,27023.0,53299.0,88.0,88.0,47.0,0.0,3596.0,67123.0,967.0,56.0,65.0,5110.0,88.0,51284.0,88.0,88.0,17714.0,88.0,13932.0,18352.0,3.0,26.0,371597.0,44503.0,67710.0,98.0,1236.0,88.0,3.0,0.0,122856.0,38798.0,57569.0,88.0,5865.0
11,12,184,5.076086956521739,189.82608695652175,40648.0,37789.0,40483.0,501556.0,1704751.0,417471.0,10158.0,402759.0,4907.0,313.0,11605.0,16677.0,184.0,184.0,293.0,184.0,81366.0,149550.0,151.0,184.0,1547.0,39.0,6316.0,38313.0,7706.0,0.0,184.0,30136.0,165.0,38856.0,136.0,148.0,53479.0,184.0,58799.0,1742.0,74.0,153.0,604521.0,98586.0,133424.0,27799.0,4920.0,409.0,52.0,96892.0,165529.0,55802.0,135094.0,184.0,11862.0
12,13,299,5.6120401337792645,69.03678929765886,65271.0,61372.0,65231.0,1563429.0,5090330.0,1304693.0,165151.0,129703.0,7442.0,269.0,15571.0,274476.0,299.0,299.0,16.0,299.0,111845.0,416650.0,15173.0,269.0,242.0,4.0,19530.0,81523.0,21021.0,106.0,241.0,60255.0,465823.0,417792.0,951223.0,6291.0,88568.0,297.0,273029.0,1373810.0,410.0,261.0,139542.0,82121.0,223046.0,6312.0,20723.0,579.0,18.0,7572.0,265493.0,97874.0,329804.0,299.0,42974.0
